2026-05-09 16:31:43 | INFO     | app.main | 🚀 Starting Salesforce PermissionSync Platform...
2026-05-09 16:31:43 | INFO     | app.main |   ✓ Ensured directory: storage/DEV/raw_xml
2026-05-09 16:31:43 | INFO     | app.main |   ✓ Ensured directory: storage/DEV/parsed_json
2026-05-09 16:31:43 | INFO     | app.main |   ✓ Ensured directory: storage/DEV/reports
2026-05-09 16:31:43 | INFO     | app.main |   ✓ Ensured directory: storage/UAT/raw_xml
2026-05-09 16:31:43 | INFO     | app.main |   ✓ Ensured directory: storage/UAT/parsed_json
2026-05-09 16:31:43 | INFO     | app.main |   ✓ Ensured directory: storage/UAT/reports
2026-05-09 16:31:43 | INFO     | app.main |   ✓ Ensured directory: storage/PROD/raw_xml
2026-05-09 16:31:43 | INFO     | app.main |   ✓ Ensured directory: storage/PROD/parsed_json
2026-05-09 16:31:43 | INFO     | app.main |   ✓ Ensured directory: storage/PROD/reports
2026-05-09 16:31:43 | INFO     | app.main |   ✓ Ensured directory: logs
2026-05-09 16:31:43 | INFO     | app.main |   ✓ Ensured directory: temp
2026-05-09 16:31:43 | INFO     | app.main |   ✓ Ensured directory: exports
2026-05-09 16:31:43 | INFO     | app.main | ✅ Platform ready.
2026-05-09 16:32:53 | INFO     | app.api.metadata | Fetching metadata from DEV: ['Profile', 'PermissionSet']
2026-05-09 16:58:35 | INFO     | app.api.metadata | Fetching metadata from DEV: ['Profile', 'PermissionSet']
2026-05-09 16:59:03 | INFO     | app.api.comparison | Comparing DEV vs UAT
2026-05-09 16:59:03 | INFO     | app.services.comparison_service | Comparing DEV vs UAT
2026-05-09 17:04:04 | INFO     | app.api.metadata | Fetching metadata from DEV: ['Profile', 'PermissionSet']
2026-05-09 17:08:13 | INFO     | app.api.metadata | Fetching metadata from DEV: ['Profile', 'PermissionSet']
2026-05-09 17:11:44 | INFO     | app.api.metadata | Fetching metadata from DEV: ['Profile', 'PermissionSet']
2026-05-09 17:11:46 | INFO     | app.api.metadata | Fetching metadata from DEV: ['Profile', 'PermissionSet']
2026-05-09 17:11:48 | INFO     | app.api.metadata | Fetching metadata from DEV: ['Profile', 'PermissionSet']
2026-05-09 17:11:49 | INFO     | app.api.metadata | Fetching metadata from DEV: ['Profile', 'PermissionSet']
2026-05-09 17:11:53 | INFO     | app.api.metadata | Fetching metadata from DEV: ['Profile', 'PermissionSet']
2026-05-09 17:11:54 | INFO     | app.api.metadata | Fetching metadata from DEV: ['Profile', 'PermissionSet']
2026-05-09 18:05:53 | INFO     | app.main | 🚀 Starting Salesforce PermissionSync Platform...
2026-05-09 18:05:53 | INFO     | app.main |   ✓ Ensured directory: storage/DEV/raw_xml
2026-05-09 18:05:53 | INFO     | app.main |   ✓ Ensured directory: storage/DEV/parsed_json
2026-05-09 18:05:53 | INFO     | app.main |   ✓ Ensured directory: storage/DEV/reports
2026-05-09 18:05:53 | INFO     | app.main |   ✓ Ensured directory: storage/UAT/raw_xml
2026-05-09 18:05:53 | INFO     | app.main |   ✓ Ensured directory: storage/UAT/parsed_json
2026-05-09 18:05:53 | INFO     | app.main |   ✓ Ensured directory: storage/UAT/reports
2026-05-09 18:05:53 | INFO     | app.main |   ✓ Ensured directory: storage/PROD/raw_xml
2026-05-09 18:05:53 | INFO     | app.main |   ✓ Ensured directory: storage/PROD/parsed_json
2026-05-09 18:05:53 | INFO     | app.main |   ✓ Ensured directory: storage/PROD/reports
2026-05-09 18:05:53 | INFO     | app.main |   ✓ Ensured directory: logs
2026-05-09 18:05:53 | INFO     | app.main |   ✓ Ensured directory: temp
2026-05-09 18:05:53 | INFO     | app.main |   ✓ Ensured directory: exports
2026-05-09 18:05:53 | INFO     | app.main | ✅ Platform ready.
2026-05-09 18:08:17 | INFO     | app.api.comparison | Comparing DEV vs UAT
2026-05-09 18:08:17 | INFO     | app.services.comparison_service | Comparing DEV vs UAT
2026-05-09 18:22:23 | INFO     | app.main | 🚀 Starting Salesforce PermissionSync Platform...
2026-05-09 18:22:23 | INFO     | app.main |   ✓ Ensured directory: storage/DEV/raw_xml
2026-05-09 18:22:23 | INFO     | app.main |   ✓ Ensured directory: storage/DEV/parsed_json
2026-05-09 18:22:23 | INFO     | app.main |   ✓ Ensured directory: storage/DEV/reports
2026-05-09 18:22:23 | INFO     | app.main |   ✓ Ensured directory: storage/UAT/raw_xml
2026-05-09 18:22:23 | INFO     | app.main |   ✓ Ensured directory: storage/UAT/parsed_json
2026-05-09 18:22:23 | INFO     | app.main |   ✓ Ensured directory: storage/UAT/reports
2026-05-09 18:22:23 | INFO     | app.main |   ✓ Ensured directory: storage/PROD/raw_xml
2026-05-09 18:22:23 | INFO     | app.main |   ✓ Ensured directory: storage/PROD/parsed_json
2026-05-09 18:22:23 | INFO     | app.main |   ✓ Ensured directory: storage/PROD/reports
2026-05-09 18:22:23 | INFO     | app.main |   ✓ Ensured directory: logs
2026-05-09 18:22:23 | INFO     | app.main |   ✓ Ensured directory: temp
2026-05-09 18:22:23 | INFO     | app.main |   ✓ Ensured directory: exports
2026-05-09 18:22:23 | INFO     | app.main | ✅ Platform ready.
2026-05-09 18:26:25 | INFO     | app.main | 🚀 Starting Salesforce PermissionSync Platform...
2026-05-09 18:26:25 | INFO     | app.main |   ✓ Ensured directory: storage/DEV/raw_xml
2026-05-09 18:26:25 | INFO     | app.main |   ✓ Ensured directory: storage/DEV/parsed_json
2026-05-09 18:26:25 | INFO     | app.main |   ✓ Ensured directory: storage/DEV/reports
2026-05-09 18:26:25 | INFO     | app.main |   ✓ Ensured directory: storage/UAT/raw_xml
2026-05-09 18:26:25 | INFO     | app.main |   ✓ Ensured directory: storage/UAT/parsed_json
2026-05-09 18:26:25 | INFO     | app.main |   ✓ Ensured directory: storage/UAT/reports
2026-05-09 18:26:25 | INFO     | app.main |   ✓ Ensured directory: storage/PROD/raw_xml
2026-05-09 18:26:25 | INFO     | app.main |   ✓ Ensured directory: storage/PROD/parsed_json
2026-05-09 18:26:25 | INFO     | app.main |   ✓ Ensured directory: storage/PROD/reports
2026-05-09 18:26:25 | INFO     | app.main |   ✓ Ensured directory: logs
2026-05-09 18:26:25 | INFO     | app.main |   ✓ Ensured directory: temp
2026-05-09 18:26:25 | INFO     | app.main |   ✓ Ensured directory: exports
2026-05-09 18:26:25 | INFO     | app.main | ✅ Platform ready.
2026-05-09 19:01:57 | INFO     | app.main | 🚀 Starting Salesforce PermissionSync Platform...
2026-05-09 19:01:57 | INFO     | app.main |   ✓ Ensured directory: storage/DEV/raw_xml
2026-05-09 19:01:57 | INFO     | app.main |   ✓ Ensured directory: storage/DEV/parsed_json
2026-05-09 19:01:57 | INFO     | app.main |   ✓ Ensured directory: storage/DEV/reports
2026-05-09 19:01:57 | INFO     | app.main |   ✓ Ensured directory: storage/UAT/raw_xml
2026-05-09 19:01:57 | INFO     | app.main |   ✓ Ensured directory: storage/UAT/parsed_json
2026-05-09 19:01:57 | INFO     | app.main |   ✓ Ensured directory: storage/UAT/reports
2026-05-09 19:01:57 | INFO     | app.main |   ✓ Ensured directory: storage/PROD/raw_xml
2026-05-09 19:01:57 | INFO     | app.main |   ✓ Ensured directory: storage/PROD/parsed_json
2026-05-09 19:01:57 | INFO     | app.main |   ✓ Ensured directory: storage/PROD/reports
2026-05-09 19:01:57 | INFO     | app.main |   ✓ Ensured directory: logs
2026-05-09 19:01:57 | INFO     | app.main |   ✓ Ensured directory: temp
2026-05-09 19:01:57 | INFO     | app.main |   ✓ Ensured directory: exports
2026-05-09 19:01:57 | INFO     | app.main | ✅ Platform ready.
2026-05-09 19:17:49 | INFO     | app.api.comparison | Comparing DEV vs UAT
2026-05-09 19:17:49 | INFO     | app.services.comparison_service | Comparing DEV vs UAT
2026-05-09 19:18:05 | INFO     | app.api.comparison | Comparing DEV vs PROD
2026-05-09 19:18:05 | INFO     | app.services.comparison_service | Comparing DEV vs PROD
2026-05-09 19:18:11 | INFO     | app.api.comparison | Comparing DEV vs PROD
2026-05-09 19:18:11 | INFO     | app.services.comparison_service | Comparing DEV vs PROD
2026-05-09 19:18:33 | INFO     | app.api.metadata | Fetching metadata from DEV: ['Profile', 'PermissionSet']
2026-05-09 19:18:39 | INFO     | app.api.metadata | Fetching metadata from DEV: ['Profile', 'PermissionSet']
2026-05-09 19:20:59 | INFO     | app.main | 🚀 Starting Salesforce PermissionSync Platform...
2026-05-09 19:20:59 | INFO     | app.main |   ✓ Ensured directory: storage/DEV/raw_xml
2026-05-09 19:20:59 | INFO     | app.main |   ✓ Ensured directory: storage/DEV/parsed_json
2026-05-09 19:20:59 | INFO     | app.main |   ✓ Ensured directory: storage/DEV/reports
2026-05-09 19:20:59 | INFO     | app.main |   ✓ Ensured directory: storage/UAT/raw_xml
2026-05-09 19:20:59 | INFO     | app.main |   ✓ Ensured directory: storage/UAT/parsed_json
2026-05-09 19:20:59 | INFO     | app.main |   ✓ Ensured directory: storage/UAT/reports
2026-05-09 19:20:59 | INFO     | app.main |   ✓ Ensured directory: storage/PROD/raw_xml
2026-05-09 19:20:59 | INFO     | app.main |   ✓ Ensured directory: storage/PROD/parsed_json
2026-05-09 19:20:59 | INFO     | app.main |   ✓ Ensured directory: storage/PROD/reports
